folio,depto,area,s07a_01,s07a_02,s07a_02e,s07a_03,s07a_03e,s07a_03a,s07a_04,s07a_05,s07a_06,s07a_06e,s07a_07,s07a_08,s07a_08e,s07a_09,s07a_09e,s07a_10,s07a_10e,s07a_11a,s07a_11b,s07a_11c,s07a_12,s07a_13,s07a_14,s07a_15,s07a_16,s07a_17,s07a_18,s07a_18e,s07a_19_1a,s07a_19_1b,s07a_19_2a,s07a_19_2b,s07a_19_3a,s07a_19_3b,s07a_19_4a,s07a_19_4ae,s07a_19_4b,s07a_20_1a,s07a_20_1b,s07a_20_2a,s07a_20_2b,s07a_20_3a,s07a_20_3b,s07a_20_4a,s07a_20_4b,s07a_20_5a,s07a_20_5ae,s07a_20_5b,s07a_21,s07a_22,s07a_22e,s07a_23,s07a_24,s07a_25,s07a_26,s07a_27,s07a_28,s07a_29,s07a_30,totper,hogar,upm,estrato,factor
111-000005-A-0021,1.0,1.0,1.0,1.0,,2.0,,2.0,NA,1000.0,1.0,,1.0,2.0,,5.0,,2.0,,3.0,30.0,7.0,20.0,1.0,1.0,1.0,1.0,30.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,4.0,4.0,2.0,NA,1.0,2.0,NA,5.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0051,1.0,1.0,1.0,1.0,,3.0,,NA,NA,300.0,1.0,,2.0,2.0,,5.0,,2.0,,5.0,0.0,5.0,50.0,1.0,1.0,1.0,1.0,30.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,4.0,,12.0,2.0,1.0,2.0,NA,1.0,2.0,NA,6.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0081,1.0,1.0,1.0,1.0,,3.0,,NA,NA,100.0,2.0,,2.0,1.0,,1.0,,2.0,,2.0,15.0,2.0,16.0,1.0,1.0,1.0,1.0,25.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,2.0,NA,NA,1.0,1.0,111-000005-A,11,237.9198455810547
111-000078-A-0011,1.0,1.0,1.0,3.0,,NA,,NA,1000.0,NA,1.0,,1.0,2.0,,5.0,,1.0,,4.0,0.0,5.0,40.0,1.0,1.0,1.0,1.0,70.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,5.0,4.0,2.0,NA,1.0,3.0,1.0,8.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0021,1.0,1.0,1.0,1.0,,3.0,,NA,NA,300.0,2.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,20.0,1.0,1.0,1.0,1.0,13.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,1.0,1.0,4.0,6.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0041,1.0,1.0,1.0,1.0,,3.0,,NA,NA,300.0,1.0,,1.0,1.0,,5.0,,1.0,,4.0,0.0,5.0,25.0,1.0,1.0,1.0,1.0,40.0,5.0,,2.0,NA,2.0,NA,1.0,300.0,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,10.0,3.0,3.0,2.0,NA,1.0,1.0,4.0,5.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0061,1.0,1.0,1.0,1.0,,2.0,,2.0,NA,1000.0,1.0,,1.0,2.0,,6.0,,1.0,,24.0,0.0,7.0,50.0,1.0,1.0,1.0,1.0,50.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,15.0,2.0,2.0,2.0,NA,1.0,2.0,NA,6.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0071,1.0,1.0,1.0,1.0,,3.0,,NA,NA,800.0,1.0,,1.0,3.0,,5.0,,1.0,,8.0,0.0,7.0,20.0,1.0,1.0,2.0,1.0,90.0,5.0,,1.0,2450.0,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,24.0,6.0,3.0,2.0,NA,1.0,1.0,1.0,5.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0081,1.0,1.0,4.0,7.0,,NA,,NA,NA,200.0,1.0,,1.0,3.0,,6.0,,1.0,,8.0,0.0,7.0,24.0,1.0,1.0,2.0,1.0,20.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,25.0,2.0,0.0,2.0,NA,1.0,2.0,NA,2.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0091,1.0,1.0,1.0,3.0,,NA,,NA,150.0,NA,2.0,,2.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,30.0,1.0,1.0,1.0,1.0,40.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,4.0,,20.0,2.0,1.0,2.0,NA,1.0,2.0,NA,6.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0101,1.0,1.0,4.0,7.0,,NA,,NA,NA,100.0,2.0,,1.0,3.0,,1.0,,2.0,,6.0,0.0,7.0,10.0,1.0,1.0,2.0,1.0,20.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,1.0,0.0,2.0,NA,1.0,1.0,4.0,4.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0111,1.0,1.0,4.0,7.0,,NA,,NA,NA,200.0,1.0,,1.0,2.0,,5.0,,1.0,,8.0,0.0,7.0,60.0,1.0,1.0,2.0,1.0,20.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,1.0,1.0,2.0,NA,1.0,3.0,1.0,4.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0131,1.0,1.0,1.0,1.0,,3.0,,NA,NA,1000.0,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,50.0,1.0,1.0,1.0,1.0,50.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,17.0,4.0,3.0,2.0,NA,1.0,2.0,NA,8.0,1.0,111-000078-A,11,128.69300842285156
111-000078-A-0141,1.0,1.0,1.0,1.0,,2.0,,2.0,NA,1000.0,1.0,,1.0,3.0,,5.0,,1.0,,8.0,0.0,7.0,120.0,1.0,1.0,1.0,1.0,120.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,100.0,7.0,4.0,2.0,NA,1.0,2.0,NA,6.0,1.0,111-000078-A,11,128.69300842285156
111-000005-A-0121,1.0,1.0,4.0,7.0,,NA,,NA,NA,300.0,1.0,,1.0,3.0,,5.0,,2.0,,24.0,0.0,6.0,45.0,1.0,1.0,2.0,1.0,60.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,3.0,1.0,2.0,NA,1.0,2.0,NA,3.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0151,1.0,1.0,4.0,3.0,,NA,,NA,250.0,NA,1.0,,1.0,1.0,,5.0,,2.0,,6.0,0.0,5.0,35.0,2.0,NA,2.0,1.0,40.0,3.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,2.0,NA,NA,3.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0181,1.0,1.0,1.0,1.0,,3.0,,NA,NA,800.0,1.0,,1.0,3.0,,5.0,,2.0,,3.0,0.0,5.0,40.0,1.0,1.0,2.0,1.0,50.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,25.0,3.0,3.0,2.0,NA,1.0,2.0,NA,7.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0221,1.0,1.0,4.0,5.0,,NA,,NA,NA,500.0,1.0,,1.0,2.0,,5.0,,2.0,,8.0,0.0,7.0,70.0,1.0,1.0,2.0,1.0,80.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,50.0,3.0,2.0,2.0,NA,1.0,3.0,4.0,6.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0251,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,1000.0,1.0,,1.0,3.0,,6.0,,1.0,,10.0,0.0,5.0,36.0,1.0,1.0,1.0,1.0,37.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3500.0,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,23.0,4.0,3.0,2.0,NA,2.0,NA,NA,6.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0281,1.0,1.0,1.0,1.0,,3.0,,NA,NA,1000.0,1.0,,1.0,2.0,,5.0,,1.0,,8.0,0.0,7.0,20.0,1.0,1.0,1.0,1.0,90.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,4.0,4.0,2.0,NA,1.0,2.0,NA,7.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0321,1.0,1.0,1.0,1.0,,3.0,,NA,NA,800.0,1.0,,1.0,2.0,,5.0,,1.0,,7.0,0.0,7.0,45.0,1.0,1.0,1.0,1.0,60.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,46.0,3.0,1.0,2.0,NA,1.0,3.0,4.0,4.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0351,1.0,1.0,4.0,3.0,,NA,,NA,150.0,NA,1.0,,2.0,1.0,,5.0,,2.0,,3.0,0.0,7.0,10.0,1.0,1.0,2.0,1.0,15.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,6.0,,NA,1.0,0.0,2.0,NA,1.0,2.0,NA,1.0,1.0,111-000005-A,11,237.9198455810547
111-000005-A-0381,1.0,1.0,4.0,3.0,,NA,,NA,150.0,NA,1.0,,2.0,3.0,,1.0,,2.0,,3.0,15.0,6.0,30.0,1.0,1.0,2.0,1.0,150.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,2.0,NA,NA,3.0,1.0,111-000005-A,11,237.9198455810547
111-000144-A-0031,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,500.0,1.0,,2.0,1.0,,5.0,,4.0,,NA,NA,NA,0.0,5.0,NA,NA,1.0,25.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,23.0,1.0,0.0,2.0,NA,1.0,2.0,NA,3.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0051,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,700.0,1.0,,1.0,3.0,,5.0,,1.0,,24.0,0.0,7.0,15.0,2.0,NA,1.0,1.0,30.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,4.0,2.0,2.0,NA,1.0,2.0,NA,4.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0071,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,600.0,1.0,,1.0,1.0,,5.0,,1.0,,2.0,0.0,1.0,15.0,2.0,NA,1.0,1.0,120.0,5.0,,2.0,NA,1.0,150.0,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,5.0,2.0,2.0,NA,1.0,3.0,2.0,3.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0101,1.0,1.0,1.0,3.0,,NA,,NA,400.0,NA,1.0,,1.0,2.0,,6.0,,1.0,,24.0,0.0,7.0,20.0,1.0,1.0,1.0,1.0,35.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,2.0,1.0,2.0,NA,1.0,2.0,NA,5.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0121,1.0,1.0,1.0,1.0,,3.0,,NA,NA,400.0,1.0,,1.0,3.0,,5.0,,1.0,,3.0,0.0,2.0,25.0,1.0,1.0,1.0,1.0,20.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,3.0,2.0,2.0,NA,1.0,2.0,NA,5.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0141,1.0,1.0,4.0,7.0,,NA,,NA,NA,250.0,1.0,,1.0,3.0,,5.0,,2.0,,2.0,0.0,3.0,10.0,1.0,1.0,2.0,1.0,10.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,1.0,1.0,2.0,NA,1.0,2.0,NA,4.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0171,1.0,1.0,1.0,1.0,,3.0,,NA,NA,500.0,1.0,,2.0,3.0,,1.0,,2.0,,3.0,0.0,5.0,30.0,1.0,1.0,1.0,1.0,70.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,23.0,3.0,3.0,2.0,NA,1.0,1.0,2.0,5.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0191,1.0,1.0,4.0,3.0,,NA,,NA,150.0,NA,1.0,,1.0,1.0,,5.0,,2.0,,2.0,0.0,1.0,15.0,5.0,NA,NA,1.0,18.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,23.0,1.0,0.0,2.0,NA,1.0,2.0,NA,3.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0211,1.0,1.0,1.0,1.0,,2.0,,2.0,NA,400.0,1.0,,1.0,3.0,,5.0,,1.0,,2.0,0.0,3.0,25.0,1.0,1.0,1.0,1.0,35.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,23.0,2.0,2.0,2.0,NA,1.0,2.0,NA,3.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0241,1.0,1.0,1.0,1.0,,3.0,,NA,NA,500.0,1.0,,2.0,2.0,,5.0,,2.0,,7.0,0.0,3.0,20.0,1.0,1.0,1.0,1.0,25.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,2.0,2.0,2.0,NA,1.0,2.0,NA,5.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0261,1.0,1.0,1.0,1.0,,3.0,,NA,NA,300.0,1.0,,1.0,2.0,,5.0,,2.0,,1.0,0.0,3.0,20.0,1.0,1.0,1.0,1.0,20.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,2.0,2.0,2.0,NA,1.0,2.0,NA,5.0,1.0,111-000144-A,11,134.8212432861328
111-000144-A-0281,1.0,1.0,1.0,2.0,,2.0,,1.0,NA,400.0,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,7.0,50.0,1.0,1.0,1.0,1.0,80.0,5.0,,1.0,500.0,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,50.0,1.0,1.0,2.0,NA,1.0,3.0,2.0,2.0,1.0,111-000144-A,11,134.8212432861328
111-000213-A-0011,1.0,1.0,4.0,3.0,,NA,,NA,50.0,NA,2.0,,1.0,2.0,,5.0,,2.0,,24.0,0.0,6.0,18.0,1.0,1.0,1.0,1.0,18.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,25.0,1.0,0.0,2.0,NA,1.0,2.0,NA,1.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0031,1.0,1.0,1.0,1.0,,3.0,,NA,NA,600.0,1.0,,1.0,1.0,,1.0,,1.0,,24.0,0.0,7.0,10.0,1.0,1.0,2.0,1.0,15.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,2.0,2.0,2.0,NA,1.0,2.0,NA,3.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0051,1.0,1.0,1.0,7.0,,NA,,NA,NA,40.0,2.0,,2.0,1.0,,1.0,,1.0,,24.0,0.0,6.0,15.0,5.0,NA,NA,1.0,20.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,1.0,,5.0,1.0,0.0,2.0,NA,2.0,NA,NA,1.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0071,1.0,1.0,4.0,3.0,,NA,,NA,350.0,NA,1.0,,1.0,3.0,,6.0,,1.0,,24.0,0.0,7.0,30.0,1.0,1.0,1.0,1.0,45.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,23.0,1.0,0.0,2.0,NA,2.0,NA,NA,1.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0091,1.0,1.0,1.0,1.0,,3.0,,NA,NA,1000.0,1.0,,1.0,3.0,,6.0,,1.0,,24.0,0.0,5.0,20.0,1.0,1.0,1.0,1.0,95.0,5.0,,2.0,NA,2.0,NA,1.0,1500.0,2.0,,NA,1.0,15000.0,2.0,NA,2.0,NA,1.0,200.0,2.0,,NA,1.0,3.0,,25.0,5.0,4.0,2.0,NA,1.0,3.0,1.0,6.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0111,1.0,1.0,1.0,1.0,,4.0,,NA,NA,300.0,2.0,,2.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,35.0,1.0,1.0,1.0,1.0,65.0,6.0,,1.0,2000.0,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,25.0,3.0,3.0,2.0,NA,1.0,2.0,NA,4.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0131,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,300.0,1.0,,1.0,3.0,,5.0,,1.0,,3.0,0.0,7.0,30.0,2.0,NA,1.0,1.0,60.0,5.0,,1.0,1000.0,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,50.0,2.0,2.0,2.0,NA,1.0,3.0,1.0,4.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0151,1.0,1.0,4.0,3.0,,NA,,NA,150.0,NA,1.0,,1.0,1.0,,5.0,,2.0,,10.0,0.0,4.0,5.0,1.0,1.0,2.0,1.0,5.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,25.0,1.0,0.0,2.0,NA,1.0,2.0,NA,1.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0171,1.0,1.0,4.0,3.0,,NA,,NA,150.0,NA,1.0,,1.0,3.0,,5.0,,2.0,,12.0,0.0,5.0,10.0,1.0,1.0,2.0,1.0,20.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,25.0,1.0,0.0,2.0,NA,1.0,2.0,NA,3.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0191,1.0,1.0,1.0,7.0,,NA,,NA,NA,150.0,1.0,,2.0,3.0,,1.0,,2.0,,24.0,0.0,6.0,70.0,1.0,1.0,1.0,1.0,80.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,1.0,0.0,2.0,NA,1.0,2.0,NA,5.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0211,1.0,1.0,1.0,2.0,,1.0,,NA,NA,500.0,1.0,,1.0,2.0,,6.0,,1.0,,24.0,0.0,7.0,26.0,1.0,1.0,1.0,1.0,60.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,15.0,2.0,2.0,2.0,NA,1.0,1.0,1.0,4.0,1.0,111-000213-A,11,101.11593627929688
111-000213-A-0231,1.0,1.0,4.0,3.0,,NA,,NA,250.0,NA,1.0,,1.0,1.0,,5.0,,2.0,,24.0,0.0,6.0,30.0,1.0,1.0,2.0,1.0,25.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,25.0,1.0,0.0,2.0,NA,1.0,2.0,NA,4.0,1.0,111-000213-A,11,101.11593627929688
111-000262-A-0031,1.0,1.0,1.0,1.0,,3.0,,NA,NA,300.0,1.0,,1.0,3.0,,5.0,,1.0,,24.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,50.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3500.0,1.0,1500.0,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,1.0,1.0,2.0,NA,2.0,NA,NA,3.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0051,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,500.0,1.0,,1.0,3.0,,5.0,,1.0,,10.0,0.0,7.0,11.0,1.0,1.0,1.0,1.0,21.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,9.0,1.0,0.0,2.0,NA,1.0,2.0,NA,1.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0081,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,800.0,1.0,,1.0,3.0,,5.0,,1.0,,24.0,0.0,7.0,60.0,1.0,1.0,1.0,1.0,50.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,11.0,4.0,4.0,2.0,NA,1.0,3.0,1.0,7.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0101,1.0,1.0,1.0,1.0,,2.0,,2.0,NA,250.0,1.0,,1.0,1.0,,5.0,,1.0,,24.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,75.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,2.0,2.0,2.0,NA,1.0,2.0,NA,5.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0131,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,500.0,1.0,,2.0,2.0,,5.0,,1.0,,24.0,0.0,7.0,22.0,1.0,1.0,1.0,1.0,60.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,3.0,3.0,2.0,NA,1.0,3.0,1.0,5.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0151,1.0,1.0,1.0,2.0,,2.0,,1.0,NA,900.0,1.0,,2.0,3.0,,5.0,,1.0,,24.0,0.0,7.0,18.0,1.0,1.0,1.0,1.0,80.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,4.0,,12.0,5.0,3.0,2.0,NA,1.0,3.0,1.0,4.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0181,1.0,1.0,1.0,2.0,,2.0,,2.0,NA,200.0,1.0,,1.0,3.0,,5.0,,1.0,,24.0,0.0,7.0,40.0,1.0,1.0,1.0,1.0,60.0,5.0,,2.0,NA,1.0,1500.0,2.0,NA,2.0,,NA,1.0,25000.0,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,50.0,3.0,2.0,2.0,NA,1.0,2.0,NA,4.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0201,1.0,1.0,1.0,1.0,,3.0,,NA,NA,200.0,1.0,,2.0,3.0,,5.0,,1.0,,24.0,0.0,7.0,20.0,1.0,1.0,1.0,1.0,45.0,6.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,3.0,,23.0,1.0,0.0,2.0,NA,2.0,NA,NA,4.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0231,1.0,1.0,4.0,3.0,,NA,,NA,250.0,NA,1.0,,1.0,3.0,,5.0,,2.0,,24.0,0.0,5.0,25.0,1.0,1.0,1.0,1.0,23.0,2.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,1.0,150.0,2.0,,NA,2.0,3.0,,25.0,1.0,0.0,2.0,NA,2.0,NA,NA,3.0,1.0,111-000262-A,11,178.43988037109375
111-000262-A-0251,1.0,1.0,1.0,3.0,,NA,,NA,300.0,NA,1.0,,1.0,1.0,,6.0,,1.0,,24.0,0.0,7.0,25.0,1.0,1.0,1.0,1.0,45.0,5.0,,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,2.0,NA,2.0,NA,2.0,NA,2.0,NA,2.0,,NA,1.0,3.0,,25.0,1.0,1.0,2.0,NA,1.0,2.0,NA,5.0,1.0,111-000262-A,11,178.43988037109375
